AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU45_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.0,0.29,0.7,0.0,0.0,0.0,0.13,0.12,0.0,0.13,0.02,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82,0.0,0.66,1.29,0.0,0.0,0.04,0.37,0.33,0.0,0.31,0.02,0.0,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.45,0.0,0.85,1.8,0.0,0.0,0.14,0.69,0.55,0.0,0.53,0.02,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.76,0.0,0.87,1.57,0.0,0.0,0.29,0.83,0.54,0.0,0.68,0.09,0.0,0.77,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.2,0.13,0.7,1.52,0.0,0.0,0.36,0.87,0.47,0.0,0.88,0.09,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.58,0.13,0.51,1.01,0.0,0.0,0.26,0.56,0.26,0.0,0.65,0.09,0.0,1.08,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.84,0.13,0.19,0.54,0.0,0.0,0.11,0.28,0.14,0.0,0.37,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.72,0.21,0.03,0.4,0.02,0.0,0.18,0.19,0.0,0.0,0.44,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0.29,0.03,0.4,0.02,0.05,0.18,0.19,0.29,0.0,0.54,0.0,0.04,1.11,0.36,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0.29,0.03,0.4,0.02,0.21,0.18,0.24,0.83,0.0,0.65,0.0,0.04,1.29,0.77,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.08,0.0,0.0,0.0,0.4,0.0,0.1,1.28,0.0,0.34,0.0,0.04,0.55,1.18,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,0.46,0.0,0.17,1.37,0.0,0.27,0.0,0.0,0.49,1.18,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.0,0.08,0.52,0.0,0.2,0.96,0.0,0.15,0.0,0.0,0.62,0.95,0.0,0.0,0.0,0.0,0.0,1.0
0.37,0.0,0.0,0.0,0.13,0.47,0.0,0.19,0.72,0.0,0.05,0.0,0.0,0.75,0.9,0.0,0.0,0.0,0.0,0.0,1.0
0.32,0.0,0.0,0.0,0.21,0.53,0.0,0.18,0.57,0.0,0.02,0.0,0.0,0.8,0.81,0.0,0.0,0.0,0.0,0.0,1.0
0.24,0.0,0.0,0.0,0.2,0.54,0.0,0.13,0.76,0.0,0.1,0.0,0.0,0.79,0.81,0.0,0.0,0.0,0.0,0.0,1.0
0.07,0.0,0.0,0.0,0.24,0.59,0.01,0.1,0.8,0.0,0.14,0.0,0.0,0.85,0.5,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.24,0.61,0.01,0.04,0.87,0.0,0.21,0.0,0.0,0.86,0.34,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.22,0.57,0.01,0.02,0.83,0.0,0.16,0.0,0.0,0.87,0.27,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.18,0.57,0.0,0.0,0.77,0.0,0.14,0.0,0.0,0.88,0.27,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.09,0.57,0.0,0.0,0.72,0.0,0.15,0.0,0.0,0.94,0.17,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.06,0.53,0.0,0.0,0.73,0.0,0.17,0.0,0.0,0.91,0.06,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.02,0.48,0.0,0.0,0.8,0.0,0.13,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.05,0.47,0.0,0.0,0.87,0.0,0.11,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.02,0.0,0.12,0.52,0.0,0.0,0.96,0.0,0.08,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.18,0.6,0.0,0.0,1.07,0.0,0.18,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07,0.0,0.15,0.56,0.0,0.0,1.1,0.0,0.26,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.08,0.0,0.08,0.57,0.0,0.0,1.06,0.0,0.33,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.15,0.0,0.05,0.58,0.0,0.05,1.21,0.0,0.3,0.0,0.0,0.72,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.25,0.0,0.05,0.68,0.0,0.1,1.33,0.0,0.21,0.0,0.0,0.65,0.12,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.31,0.0,0.05,0.68,0.0,0.14,1.48,0.0,0.14,0.0,0.0,0.56,0.23,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.26,0.0,0.02,0.64,0.0,0.14,1.4,0.0,0.09,0.0,0.0,0.46,0.23,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.23,0.0,0.02,0.55,0.0,0.16,1.29,0.0,0.08,0.0,0.0,0.41,0.12,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.06,0.25,0.0,0.0,0.59,0.0,0.2,1.14,0.0,0.04,0.0,0.0,0.33,0.18,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.06,0.3,0.0,0.0,0.61,0.0,0.21,1.04,0.0,0.14,0.0,0.03,0.3,0.29,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.06,0.32,0.0,0.0,0.68,0.0,0.21,0.95,0.0,0.21,0.0,0.03,0.21,0.39,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.25,0.0,0.0,0.62,0.0,0.21,0.9,0.0,0.26,0.0,0.07,0.15,0.23,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.1,0.38,0.0,0.0,0.57,0.0,0.21,0.82,0.0,0.25,0.0,0.04,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.1,0.44,0.0,0.0,0.53,0.0,0.26,0.94,0.0,0.24,0.0,0.04,0.12,0.19,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.1,0.5,0.0,0.0,0.51,0.0,0.29,0.95,0.0,0.35,0.0,0.02,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.4,0.0,0.0,0.44,0.0,0.3,0.94,0.0,0.38,0.0,0.05,0.05,0.18,0.0,0.0,0.0,0.0,0.0,0.0
0.41,0.0,0.4,0.0,0.0,0.39,0.0,0.24,0.85,0.0,0.45,0.0,0.14,0.04,0.21,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.51,0.0,0.0,0.43,0.0,0.16,0.82,0.0,0.41,0.0,0.12,0.04,0.31,0.0,0.0,0.0,0.0,0.0,0.0
0.53,0.0,0.55,0.0,0.0,0.5,0.0,0.07,0.73,0.0,0.37,0.0,0.22,0.13,0.28,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.0,0.54,0.0,0.0,0.46,0.0,0.02,0.63,0.0,0.31,0.0,0.23,0.19,0.22,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.0,0.53,0.0,0.0,0.25,0.0,0.01,0.63,0.0,0.22,0.0,0.33,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.51,0.0,0.0,0.1,0.0,0.01,0.82,0.0,0.24,0.0,0.31,0.17,0.32,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.51,0.0,0.0,0.07,0.0,0.02,0.86,0.0,0.19,0.0,0.37,0.06,0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.45,0.0,0.0,0.07,0.0,0.04,0.87,0.0,0.29,0.0,0.36,0.02,0.21,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.53,0.0,0.0,0.1,0.0,0.09,0.81,0.0,0.25,0.0,0.34,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.54,0.0,0.0,0.08,0.0,0.12,0.88,0.0,0.28,0.0,0.34,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.51,0.0,0.0,0.1,0.0,0.17,1.01,0.0,0.34,0.0,0.33,0.02,0.4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.39,0.0,0.0,0.16,0.0,0.13,1.1,0.0,0.4,0.0,0.32,0.02,0.43,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.34,0.0,0.0,0.19,0.0,0.12,1.12,0.0,0.4,0.0,0.24,0.02,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.22,0.0,0.02,0.23,0.0,0.11,1.08,0.0,0.34,0.0,0.28,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.27,0.0,0.05,0.18,0.0,0.15,1.12,0.0,0.31,0.0,0.32,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.25,0.0,0.05,0.17,0.0,0.15,1.17,0.0,0.3,0.0,0.41,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.28,0.0,0.03,0.22,0.0,0.19,1.29,0.0,0.26,0.0,0.46,0.01,0.44,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.22,0.0,0.0,0.29,0.0,0.22,1.26,0.0,0.24,0.0,0.48,0.01,0.32,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.28,0.0,0.0,0.33,0.01,0.29,1.24,0.0,0.2,0.0,0.44,0.01,0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.36,0.0,0.01,0.37,0.05,0.32,1.13,0.0,0.2,0.0,0.35,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.42,0.0,0.01,0.36,0.06,0.33,1.13,0.0,0.27,0.0,0.24,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.53,0.0,0.01,0.39,0.09,0.38,1.09,0.0,0.36,0.0,0.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.55,0.0,0.0,0.38,0.06,0.4,1.14,0.0,0.45,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.55,0.0,0.0,0.43,0.05,0.44,1.16,0.0,0.34,0.0,0.24,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.47,0.0,0.0,0.45,0.0,0.36,1.15,0.0,0.31,0.0,0.33,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
